url_length,domain_length,num_dots,num_slashes,num_hyphens,num_special_chars,has_https,has_at_symbol,has_ip_address,has_suspicious_word,label
32,24,2,2,0,5,1,0,0,1,1
24,16,2,2,1,6,1,0,0,0,1
30,22,3,2,0,6,1,0,0,0,1
27,19,2,2,0,5,1,0,0,0,1
34,26,2,2,0,5,1,0,0,0,1
31,23,2,2,0,5,1,0,0,0,1
26,18,2,2,0,5,1,0,0,0,1
26,18,2,2,0,5,1,0,0,0,1
30,22,2,2,0,5,1,0,0,0,1
19,11,2,2,0,5,1,0,0,0,1
34,26,2,2,0,5,1,0,0,0,1
23,16,2,2,0,5,0,0,0,0,0
28,20,2,2,0,5,1,0,0,0,1
21,13,2,2,0,5,1,0,0,0,1
27,19,2,2,0,5,1,0,0,0,1
25,17,2,2,0,5,1,0,0,0,1
21,13,2,2,0,5,1,0,0,0,1
22,14,2,2,0,5,1,0,0,0,1
22,14,2,2,0,5,1,0,0,0,1
23,15,3,2,0,6,1,0,0,0,1
27,20,3,2,0,6,0,0,0,0,0
24,17,2,2,0,5,0,0,0,0,0
29,21,2,2,0,5,1,0,0,0,1
30,22,2,2,0,5,1,0,0,0,1
34,26,4,2,0,7,1,0,0,0,1
26,18,2,2,0,5,1,0,0,0,1
37,29,2,2,0,5,1,0,0,0,1
38,29,2,3,1,7,1,0,0,0,0
33,26,3,2,1,7,0,0,0,0,0
27,18,2,3,1,7,1,0,0,0,0
22,14,2,2,0,5,1,0,0,0,1
92,7,2,4,0,10,1,1,0,0,0
40,32,2,3,2,8,0,0,0,0,0
25,17,2,2,0,5,1,0,0,0,1
35,26,2,3,0,6,1,0,0,0,0
24,16,3,2,0,6,1,0,0,0,1
33,25,2,2,0,5,1,0,0,0,1
20,13,2,2,0,5,0,0,0,0,0
20,12,2,2,0,5,1,0,0,0,1
28,21,2,2,0,5,0,0,0,0,0
28,21,3,2,0,6,0,0,0,0,0
33,24,2,3,1,7,1,0,0,0,0
25,17,2,2,0,5,1,0,0,0,1
30,22,2,2,0,5,1,0,0,0,1
42,33,2,3,3,9,1,0,0,0,0
140,23,1,6,2,17,1,0,0,0,0
28,20,2,2,0,5,1,0,0,0,1
28,20,3,2,0,6,1,0,0,0,1
25,17,2,2,0,5,1,0,0,0,1
23,16,2,2,0,5,0,0,0,0,0
35,26,2,3,1,7,1,0,0,0,0
25,17,2,2,0,5,1,0,0,0,1
32,23,1,3,0,5,1,0,0,0,0
26,18,2,2,0,5,1,0,0,0,1
25,18,2,2,0,5,0,0,0,0,0
20,12,2,2,0,5,1,0,0,0,1
27,19,2,2,0,5,1,0,0,0,1
37,12,1,4,0,6,1,0,0,0,0
22,14,2,2,0,5,1,0,0,0,1
31,22,2,3,1,7,1,0,0,0,0
31,24,2,2,0,5,0,0,0,0,0
36,28,3,2,0,6,1,0,0,0,1
26,18,2,2,0,5,1,0,0,0,1
18,10,2,2,0,5,1,0,0,0,1
25,17,2,2,0,5,1,0,0,0,1
26,18,2,2,0,5,1,0,0,0,1
26,18,2,2,0,5,1,0,0,0,1
21,13,2,2,0,5,1,0,0,0,1
31,24,3,2,0,6,0,0,0,0,0
24,17,2,2,0,5,0,0,0,0,0
23,15,2,2,0,5,1,0,0,0,1
21,14,2,2,0,5,0,0,0,0,0
27,20,3,2,0,6,0,0,0,0,0
26,17,2,3,0,6,1,0,0,0,0
